ticker,Start_Date
600519.SS,2001-08-27
601318.SS,2007-03-01
600036.SS,2002-04-09
000858.SZ,1998-04-27
600900.SS,2003-11-18
601166.SS,2007-02-05
600030.SS,2003-01-06
600276.SS,2000-10-18
601398.SS,2006-10-27
600887.SS,1996-03-12
000651.SZ,1996-11-18
601328.SS,2007-05-15
600309.SS,2001-01-05
000725.SZ,2001-01-12
000568.SZ,1994-05-09
601088.SS,2007-10-09
600028.SS,2001-08-08
600809.SS,1994-01-06
000001.SZ,1991-01-02
600016.SS,2000-12-19
601857.SS,2007-11-05
000063.SZ,1997-11-18
601988.SS,2006-07-05
600406.SS,2003-10-16
000338.SZ,2007-04-30
600050.SS,2002-10-09
600690.SS,1993-11-19
002142.SZ,2007-07-19
600837.SS,1994-02-24
000792.SZ,1997-09-04
601601.SS,2007-12-25
000100.SZ,2004-01-30
600000.SS,1999-11-10
600031.SS,2003-07-03
600150.SS,1998-05-20
601169.SS,2007-09-19
600089.SS,1997-06-18
000625.SZ,1997-06-10
600438.SS,2004-03-02
600048.SS,2006-07-31
600104.SS,1997-11-25
600660.SS,1993-06-10
000002.SZ,1991-01-02
600436.SS,2003-06-16
601919.SS,2007-06-26
601390.SS,2007-12-03
002027.SZ,2004-08-04
601006.SS,2006-08-01
600019.SS,2000-12-12
600585.SS,2002-02-07
002050.SZ,2005-06-07
000938.SZ,1999-11-04
601628.SS,2007-01-09
002049.SZ,2005-06-06
601600.SS,2000-01-04
600111.SS,1997-09-24
601939.SS,2007-09-25
600893.SS,1996-04-08
601009.SS,2007-07-19
000538.SZ,1993-12-15
600009.SS,1998-02-18
002129.SZ,2007-04-20
600886.SS,1996-01-18
600760.SS,1996-10-11
000425.SZ,1996-08-28
000776.SZ,1997-06-11
600795.SS,1997-03-18
000661.SZ,1996-12-18
000166.SZ,1994-02-02
600426.SS,2002-06-20
600015.SS,2003-09-12
000157.SZ,2000-10-12
600547.SS,2003-08-28
600011.SS,2001-12-06
000977.SZ,2000-06-08
600674.SS,1993-09-24
600584.SS,2003-06-03
600570.SS,2003-12-16
002179.SZ,2007-11-01
000596.SZ,1996-09-27
600188.SS,1998-07-01
600010.SS,2001-03-09
601111.SS,2006-08-18
001979.SZ,1993-06-07
600845.SS,1994-03-11
600745.SS,1996-08-28
600115.SS,1997-11-05
600029.SS,2003-07-25
600196.SS,1998-08-07
601699.SS,2006-09-22
600085.SS,1997-06-25
000895.SZ,1998-12-10
600489.SS,2003-08-14
000963.SZ,2000-01-27
000768.SZ,1997-06-26
000786.SZ,1997-06-06
600600.SS,1993-08-27
000301.SZ,2000-05-29
002001.SZ,2004-06-25
600741.SS,1996-08-26
600346.SS,2001-08-20
000983.SZ,2000-07-26
600588.SS,2001-05-18
600515.SS,2002-08-06
600176.SS,1999-04-22
601872.SS,2006-12-01
000408.SZ,1996-06-28
002180.SZ,2007-11-13
600372.SS,2001-07-06
000733.SZ,1997-07-03
600233.SS,2000-06-08
000999.SZ,2000-03-09
600219.SS,1999-12-23
002007.SZ,2004-06-25
002074.SZ,2006-10-18
002202.SZ,2007-12-26
600332.SS,2001-02-06
600362.SS,2002-01-11
000876.SZ,1998-03-11
600183.SS,1998-10-28
601607.SS,1994-03-24
601998.SS,2007-04-27
600875.SS,1995-10-10
600061.SS,1997-05-19
600460.SS,2003-03-11
600803.SS,1994-01-03
600732.SS,1996-08-16
600132.SS,1997-10-30
000617.SZ,1996-10-22
000069.SZ,1997-09-10
600018.SS,2000-07-19
000708.SZ,1997-03-26
600039.SS,2003-03-25
600754.SS,1996-10-11
000877.SZ,1999-01-07
600606.SS,1992-04-10
601808.SS,2007-09-28
000800.SZ,1997-06-18
