ticker,start_date,end_date
005930.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
000660.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
005380.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
000270.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
055550.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
005490.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
010130.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
012330.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
006400.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
000810.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
011200.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
015760.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
033780.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
012450.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
009540.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
017670.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
030200.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
010140.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
000100.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
003490.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
009150.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
005830.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
010950.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
006800.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
010620.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
005940.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
010120.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
016360.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
036460.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
003230.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
011790.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
175330.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
028050.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
000150.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
000720.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
004020.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
011170.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
009830.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
006260.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
011780.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
001040.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
001450.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
012750.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
018880.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
000880.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
012510.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
001440.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
002380.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
004370.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
030000.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
017800.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
018670.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
009420.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
000120.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
001570.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
002790.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
006280.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
006360.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
000240.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
007310.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
008770.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
000080.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
005850.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
000990.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
014820.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
006040.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
004170.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
003090.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
001720.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
010060.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
009450.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
009970.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
014680.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
005300.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
007340.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
001120.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
001800.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
004490.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
001740.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
002710.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
004000.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
002840.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
003540.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
003620.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
023590.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
000670.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
005440.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
001430.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
009410.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
004800.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
003530.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
000210.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
012630.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
006120.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
005250.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
001680.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
005180.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
025540.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
003850.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
003240.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
005420.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
016380.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
003570.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
010780.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
002350.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
006380.KS,2000-01-04 00:00:00+09:00,2024-12-10 00:00:00+09:00
019170.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
008730.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
005880.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
006110.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
017960.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
006650.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
003470.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
000370.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
145990.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
007700.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
016800.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
003920.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
002960.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
003300.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
017810.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
003280.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
005610.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
161000.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
000155.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
003960.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
029530.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
005389.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
005090.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
001340.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
004690.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
005810.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
020000.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
001940.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
004700.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
002310.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
026890.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
003160.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
025860.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
015360.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
009290.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
005390.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
005690.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
000490.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
012030.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
009680.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
033240.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
002320.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
001820.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
001390.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
006390.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
000520.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
001270.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
035150.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
007690.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
001200.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
011760.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
001630.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
017390.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
006220.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
010690.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
001790.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
