ticker,start_date,end_date
AAME,1980-03-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
AAON,1992-12-16 00:00:00-05:00,2024-12-10 00:00:00-05:00
AAPL,1980-12-12 00:00:00-05:00,2024-12-10 00:00:00-05:00
ABEO,1980-09-19 00:00:00-04:00,2024-12-10 00:00:00-05:00
ACGL,1995-09-14 00:00:00-04:00,2024-12-10 00:00:00-05:00
ACHC,1994-03-04 00:00:00-05:00,2024-12-10 00:00:00-05:00
ACHV,1995-10-12 00:00:00-04:00,2024-12-10 00:00:00-05:00
ACIW,1995-02-24 00:00:00-05:00,2024-12-10 00:00:00-05:00
ACNB,1994-04-04 00:00:00-04:00,2024-12-10 00:00:00-05:00
ACNT,1980-03-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
ADBE,1986-08-13 00:00:00-04:00,2024-12-10 00:00:00-05:00
ADI,1980-03-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
ADP,1980-03-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
ADSK,1985-06-28 00:00:00-04:00,2024-12-10 00:00:00-05:00
ADTN,1994-08-10 00:00:00-04:00,2024-12-10 00:00:00-05:00
AEHR,1997-08-15 00:00:00-04:00,2024-12-10 00:00:00-05:00
AEIS,1995-11-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
AEMD,1999-03-04 00:00:00-05:00,2024-12-10 00:00:00-05:00
AEP,1962-01-02 00:00:00-05:00,2024-12-10 00:00:00-05:00
AGYS,1980-03-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
AIFF,1994-04-06 00:00:00-04:00,2024-12-10 00:00:00-05:00
AIOT,1999-06-30 00:00:00-04:00,2024-12-10 00:00:00-05:00
AIRT,1984-04-24 00:00:00-05:00,2024-12-10 00:00:00-05:00
AKAM,1999-10-29 00:00:00-04:00,2024-12-10 00:00:00-05:00
ALCO,1973-05-03 00:00:00-04:00,2024-12-10 00:00:00-05:00
ALKS,1991-07-16 00:00:00-04:00,2024-12-10 00:00:00-05:00
ALNT,1980-10-20 00:00:00-04:00,2024-12-10 00:00:00-05:00
ALOT,1981-10-01 00:00:00-04:00,2024-12-10 00:00:00-05:00
ALTS,1991-11-07 00:00:00-05:00,2024-12-10 00:00:00-05:00
AMAT,1980-03-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
AMD,1980-03-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
AMED,1994-08-17 00:00:00-04:00,2024-12-10 00:00:00-05:00
AMGN,1983-06-17 00:00:00-04:00,2024-12-10 00:00:00-05:00
AMKR,1998-05-01 00:00:00-04:00,2024-12-10 00:00:00-05:00
AMRN,1993-04-01 00:00:00-05:00,2024-12-10 00:00:00-05:00
AMSC,1991-12-12 00:00:00-05:00,2024-12-10 00:00:00-05:00
AMWD,1986-07-18 00:00:00-04:00,2024-12-10 00:00:00-05:00
AMZN,1997-05-15 00:00:00-04:00,2024-12-10 00:00:00-05:00
ANDE,1996-02-20 00:00:00-05:00,2024-12-10 00:00:00-05:00
ANIK,1993-05-03 00:00:00-04:00,2024-12-10 00:00:00-05:00
ANIX,1983-10-07 00:00:00-04:00,2024-12-10 00:00:00-05:00
ANSS,1996-06-20 00:00:00-04:00,2024-12-10 00:00:00-05:00
APA,1979-05-15 00:00:00-04:00,2024-12-10 00:00:00-05:00
APOG,1973-05-03 00:00:00-04:00,2024-12-10 00:00:00-05:00
APTO,1992-03-16 00:00:00-05:00,2024-12-10 00:00:00-05:00
ARCB,1992-05-13 00:00:00-04:00,2024-12-10 00:00:00-05:00
ARKR,1985-12-13 00:00:00-05:00,2024-12-10 00:00:00-05:00
ARLP,1999-08-17 00:00:00-04:00,2024-12-10 00:00:00-05:00
AROW,1980-09-18 00:00:00-04:00,2024-12-10 00:00:00-05:00
ARTNA,1994-04-28 00:00:00-04:00,2024-12-10 00:00:00-05:00
ARTW,1980-03-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
ARWR,1993-12-16 00:00:00-05:00,2024-12-10 00:00:00-05:00
ASML,1995-03-15 00:00:00-05:00,2024-12-10 00:00:00-05:00
ASRT,1997-12-03 00:00:00-05:00,2024-12-10 00:00:00-05:00
ASRV,1985-01-30 00:00:00-05:00,2024-12-10 00:00:00-05:00
ASTC,1995-12-21 00:00:00-05:00,2024-12-10 00:00:00-05:00
ASTE,1986-06-18 00:00:00-04:00,2024-12-10 00:00:00-05:00
ASUR,1992-04-07 00:00:00-04:00,2024-12-10 00:00:00-05:00
ASYS,1983-08-09 00:00:00-04:00,2024-12-10 00:00:00-05:00
ATLC,1999-04-23 00:00:00-04:00,2024-12-10 00:00:00-05:00
ATNI,1991-11-14 00:00:00-05:00,2024-12-10 00:00:00-05:00
ATRO,1980-03-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
AUBN,1995-08-03 00:00:00-04:00,2024-12-10 00:00:00-05:00
AUDC,1999-05-28 00:00:00-04:00,2024-12-10 00:00:00-05:00
AVDL,1996-06-07 00:00:00-04:00,2024-12-10 00:00:00-05:00
AVNW,1987-05-19 00:00:00-04:00,2024-12-10 00:00:00-05:00
AVT,1973-05-03 00:00:00-04:00,2024-12-10 00:00:00-05:00
AWRE,1996-08-09 00:00:00-04:00,2024-12-10 00:00:00-05:00
AXDX,1994-04-07 00:00:00-04:00,2024-12-10 00:00:00-05:00
AXGN,1986-12-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
AXTI,1998-05-21 00:00:00-04:00,2024-12-10 00:00:00-05:00
AZN,1993-05-12 00:00:00-04:00,2024-12-10 00:00:00-05:00
AZPN,1994-10-26 00:00:00-04:00,2024-12-10 00:00:00-05:00
AZTA,1995-02-02 00:00:00-05:00,2024-12-10 00:00:00-05:00
BANF,1990-03-26 00:00:00-05:00,2024-12-10 00:00:00-05:00
BANR,1995-11-01 00:00:00-05:00,2024-12-10 00:00:00-05:00
BBH,1999-11-23 00:00:00-05:00,2024-12-10 00:00:00-05:00
BBSI,1993-06-11 00:00:00-04:00,2024-12-10 00:00:00-05:00
BCDA,1996-11-13 00:00:00-05:00,2024-12-10 00:00:00-05:00
BCPC,1986-06-03 00:00:00-04:00,2024-12-10 00:00:00-05:00
BCRX,1994-03-04 00:00:00-05:00,2024-12-10 00:00:00-05:00
BELFA,1983-12-06 00:00:00-05:00,2024-12-10 00:00:00-05:00
BELFB,1998-07-10 00:00:00-04:00,2024-12-10 00:00:00-05:00
BGC,1999-12-10 00:00:00-05:00,2024-12-10 00:00:00-05:00
BIIB,1991-09-17 00:00:00-04:00,2024-12-10 00:00:00-05:00
BJRI,1996-10-09 00:00:00-04:00,2024-12-10 00:00:00-05:00
BKNG,1999-03-31 00:00:00-05:00,2024-12-10 00:00:00-05:00
BKR,1987-04-06 00:00:00-04:00,2024-12-10 00:00:00-05:00
BKYI,1997-02-21 00:00:00-05:00,2024-12-10 00:00:00-05:00
BLDP,1995-11-08 00:00:00-05:00,2024-12-10 00:00:00-05:00
BLFS,1989-11-22 00:00:00-05:00,2024-12-10 00:00:00-05:00
BMRA,1984-09-07 00:00:00-04:00,2024-12-10 00:00:00-05:00
BMRC,1999-12-23 00:00:00-05:00,2024-12-10 00:00:00-05:00
BMRN,1999-07-26 00:00:00-04:00,2024-12-10 00:00:00-05:00
BOKF,1991-09-05 00:00:00-04:00,2024-12-10 00:00:00-05:00
BOOM,1989-01-05 00:00:00-05:00,2024-12-10 00:00:00-05:00
