Issue code,Issue name,Close,Change,%Change,Open,High,Low,Trading volume,Trading value,Market cap.,No.of listed shares
"244920","A Plus Asset","4240","-40","-0.93","4300","4300","4230","16682","70815540","95856618320","22607693"
"140910","A REIT","3130","0","0.00","0","0","0","0","0","13969290160","4463032"
"015260","A&P","728","26","3.70","730","730","700","19664","14027974","32845098832","45116894"
"078520","ABLE C&C","7750","-80","-1.02","7830","7870","7660","76961","595955690","201609747750","26014161"
"018250","AEKYUNG INDUSTRIAL","18650","-290","-1.53","18950","19140","18520","28076","526310210","492545287750","26409935"
"095570","AJ Networks","4680","-105","-2.19","4735","4785","4680","65292","308003960","211782912120","45252759"
"139990","AJUSTEEL","5280","-20","-0.38","5280","5300","5230","11003","57929280","140013688320","26517744"
"161000","AK CHEMICAL","11510","-240","-2.04","11760","11810","11480","216380","2513316940","559946640590","48648709"
"006840","AK Holdings","12890","-150","-1.15","13020","13070","12890","2755","35700870","170761061290","13247561"
"001780","ALUKO","2445","-40","-1.61","2485","2510","2445","126494","311399320","236749672740","96830132"
"00279K","AMOREG(3PC)","20400","0","0.00","20450","20650","19810","6892","141098960","144680880000","7092200"
"090430","AMOREPACIFIC","147700","-4500","-2.96","153500","154900","147700","275123","41473149000","8639380504300","58492759"
"090435","AMOREPACIFIC(1P)","40100","-700","-1.72","40700","41250","38500","14058","564989450","423368983000","10557830"
"278470","APR","266500","11500","4.51","255000","267000","253500","102421","26813502000","2030777437000","7620178"
"002030","ASIA HOLDINGS","255000","-1000","-0.39","255500","256000","252500","1897","482492000","539490240000","2115648"
"183190","ASIACEMENT","10840","-30","-0.28","10980","10980","10700","24722","268001610","417360444240","38501886"
"017900","AUK","1879","-25","-1.31","1900","1910","1876","76138","143782812","108876330677","57943763"
"298690","AirBusan","2410","-100","-3.98","2490","2490","2410","123530","302063185","281102400000","116640000"
"002790","AmoreG","27850","-300","-1.07","28450","29000","27850","228455","6470757400","2296460313000","82458180"
"002795","AmoreG(1P)","10010","-20","-0.20","10080","10080","9860","3124","31071710","64502137700","6443770"
"008700","AnamElec","1288","-14","-1.08","1307","1309","1269","127976","164195979","99336768160","77124820"
"007460","Aprogen","1224","12","0.99","1213","1263","1202","4000365","4943329338","351106564032","286851768"
"003060","Aprogen Biologics","914","1","0.11","912","930","898","729914","668846121","181344770330","198407845"
"012170","Ascendio","581","-25","-4.13","601","606","579","1199040","703632637","60173872528","103569488"
"002310","AsiaPaprMfg","8000","100","1.27","7900","8000","7750","76034","599373800","358260080000","44782510"
"020560","Asiana Airlines","9460","-150","-1.56","9610","9670","9460","64689","616772250","703935287440","74411764"
"267850","AsianaIDT","16540","420","2.61","16010","16890","16000","46091","760736830","183594000000","11100000"
"027410","BGF","3560","5","0.14","3555","3565","3545","34855","123935980","340751775960","95716791"
"282330","BGF Retail","114700","-2000","-1.71","118000","118000","114300","28069","3243359100","1982464018200","17283906"
"090460","BH","18270","-110","-0.60","18420","18480","17900","449451","8122029900","629664204330","34464379"
"138930","BNK Financial Group","9040","-150","-1.63","9320","9330","9000","1240547","11273843680","2896748012080","320436727"
"002410","BUMYANG CONST","1180","-11","-0.92","1191","1196","1170","20727","24376190","29301738760","24831982"
"001460","BYC","32650","-150","-0.46","33300","33300","32450","1698","55688550","203936797500","6246150"
"001465","BYC(1P)","12830","-130","-1.00","12990","12990","12800","7112","91332650","27633895500","2153850"
"035150","Baiksan","15060","380","2.59","14540","15220","14540","154214","2317320220","323790000000","21500000"
"005180","Binggrae","64400","0","0.00","64600","65200","63900","43844","2827882500","634419920400","9851241"
"377740","BioNote","4560","15","0.33","4560","4615","4485","134817","609693700","465375578880","102056048"
"000890","BohaeBrew","445","-7","-1.55","450","455","443","249834","111842421","61908457405","139120129"
"002760","Bolak","1008","-16","-1.56","1030","1030","1005","149339","151080218","60379200000","59900000"
"026940","Bookook Steel","2660","40","1.53","2645","2660","2615","27250","71819440","53200000000","20000000"
"001270","BookookSecu","28900","-400","-1.37","29250","29450","28700","6696","194502500","299689705400","10369886"
"001275","BookookSecu(1P)","21950","0","0.00","22050","22050","21950","907","19927400","65850000000","3000000"
"003850","Boryung","10820","-120","-1.10","10940","11110","10700","289401","3141290460","743225800000","68690000"
"003000","BukwangPharm","5070","-80","-1.55","5150","5150","5010","138586","702463470","347065181970","68454671"
"011390","BusanInd","50100","-1000","-1.96","51100","51100","50000","2257","113563000","52905600000","1056000"
"007210","Byuksan","2110","-5","-0.24","2110","2135","2095","139518","294590810","142551600000","67560000"
"013700","CAMUS E&S","1329","-23","-1.70","1352","1375","1320","27359","36561583","60007380120","45152280"
"006380","CAPRO","3660","0","0.00","0","0","0","0","0","618539985360","168999996"
"033250","CHASYS","1320","-57","-4.14","1372","1372","1304","179893","238967010","42240000000","32000000"
"001560","CHEILGRINDING","8390","-100","-1.18","8420","8560","8380","717","6032180","83061000000","9900000"
"002787","CHINHUNG INT (2PB)","10690","250","2.39","10430","10990","10430","106","1143420","3151497520","294808"
"002785","CHINHUNG INT(1PB)","4170","-30","-0.71","4195","4195","4085","49","203175","3574599060","857218"
"002600","CHOHEUNG","178000","2000","1.14","175300","178700","175300","14","2463500","106800000000","600000"
"018470","CHOILALUMINUM","1683","-23","-1.35","1720","1721","1670","321755","541772297","213121186443","126631721"
"185750","CHONGKUNDANG","112400","-2000","-1.75","113700","114900","110900","32850","3695006900","1480804808000","13174420"
"001630","CHONGKUNDANG HOLDINGS","58500","-500","-0.85","59000","59600","58300","6685","393588600","293076868500","5009861"
